trade_date,entry_time,direction,contract_id,position_pct,entry_mid,entry_fill,contracts,planned_contracts,volume15,volume_share,premium,fee,gross_pnl,net_pnl,return_on_premium,capital_before,capital_after,exit_reason,exit_legs,exit_fills,skipped,skip_reason
2023-08-30,2023-08-30 09:45:00,put,588000P_REV_10005524,0.2,0.038,0.0383,52,52,15886.0,0.0032733224222585926,19916.0,208.0,-364.0,-572.0,-0.028720626631853787,100000.0,99428.0,eod,1.0@0.037900,52@0.037600,False,
2023-11-07,2023-11-07 09:45:00,put,588000P_REV_10005541,0.2,0.035,0.035300000000000005,56,56,1359.0,0.041206769683590876,19768.000000000004,224.0,-112.00000000000364,-336.00000000000364,-0.01699716713881038,99428.0,99092.0,eod,1.0@0.035400,56@0.035100,False,
2024-02-08,2024-02-08 09:45:00,put,588000P_REV_10005828,0.2,0.0423,0.0426,46,46,4444.0,0.010351035103510351,19596.0,184.0,-3778.4400000000005,-3962.4400000000005,-0.20220657276995307,99092.0,95129.56,soft_stop,1.0@0.034686,46@0.034386,False,
2024-06-05,2024-06-05 09:45:00,put,588000P_REV_10006796,0.2,0.0409,0.0412,46,46,1807.0,0.02545655783065855,18952.0,184.0,1839.9999999999964,1655.9999999999964,0.08737864077669884,95129.56,96785.56,eod,1.0@0.045500,46@0.045200,False,
2024-06-07,2024-06-07 09:45:00,put,588000P_REV_10006796,0.2,0.0478,0.048100000000000004,40,40,2870.0,0.013937282229965157,19240.0,160.0,1520.0,1360.0,0.07068607068607069,96785.56,98145.56,eod,1.0@0.052200,40@0.051900,False,
2024-06-18,2024-06-18 09:45:00,put,588000P_REV_10006796,0.2,0.0356,0.0359,54,54,1939.0,0.02784940691077875,19386.0,216.0,1512.0,1296.0,0.06685236768802229,98145.56,99441.56,eod,1.0@0.039000,54@0.038700,False,
2024-06-24,2024-06-24 09:45:00,put,588000P_REV_10006796,0.2,0.0382,0.0385,51,51,1739.0,0.029327199539965498,19635.0,204.0,6570.199999999997,6366.199999999997,0.32422714540361586,99441.56,105807.76,tp1_eod,0.5@0.051570;0.5@0.051800,26@0.051270;25@0.051500,False,
2024-06-28,2024-06-28 09:45:00,put,588000P_REV_10006795,0.2,0.032,0.0323,0,65,1018.0,0.06385068762278978,0.0,0.0,0.0,0.0,0.0,105807.76,105807.76,eod,1.0@0.036900,,True,capacity
2024-07-08,2024-07-08 09:45:00,put,588000P_REV_10006795,0.2,0.044,0.0443,47,47,1340.0,0.03507462686567164,20821.0,188.0,2068.0,1880.0,0.09029345372460497,105807.76,107687.76,eod,1.0@0.049000,47@0.048700,False,
2024-07-10,2024-07-10 09:45:00,put,588000P_REV_10006795,0.2,0.035,0.035300000000000005,61,61,1774.0,0.034385569334836524,21533.000000000004,244.0,975.9999999999927,731.9999999999927,0.03399433427762005,107687.76,108419.75999999998,eod,1.0@0.037200,61@0.036900,False,
2024-07-22,2024-07-22 09:45:00,put,588000P_REV_10007519,0.2,0.0323,0.032600000000000004,66,66,3009.0,0.02193419740777667,21516.0,264.0,1735.7999999999993,1471.7999999999993,0.06840490797546009,108419.75999999998,109891.55999999998,trend_quick_tp_10%,1.0@0.035530,66@0.035230,False,
2024-07-25,2024-07-25 09:45:00,put,588000P_REV_10006795,0.2,0.0354,0.0357,61,61,1250.0,0.0488,21777.000000000004,244.0,-4252.9200000000055,-4496.9200000000055,-0.20649859943977614,109891.55999999998,105394.63999999998,soft_stop,1.0@0.029028,61@0.028728,False,
2024-08-05,2024-08-05 09:45:00,put,588000P_REV_10007206,0.2,0.0418,0.0421,50,50,1052.0,0.04752851711026616,21050.0,200.0,7732.499999999996,7532.499999999996,0.3578384798099761,105394.63999999998,112927.13999999998,tp1_eod,0.5@0.056430;0.5@0.059300,25@0.056130;25@0.059000,False,
2024-08-15,2024-08-15 09:45:00,put,588000P_REV_10006795,0.2,0.032,0.0323,69,69,2135.0,0.03231850117096019,22287.000000000004,276.0,-4388.400000000005,-4664.400000000005,-0.20928792569659463,112927.13999999998,108262.73999999998,soft_stop,1.0@0.026240,69@0.025940,False,
2024-09-12,2024-09-12 09:45:00,put,588000P_REV_10007205,0.2,0.0385,0.0388,55,55,2112.0,0.026041666666666668,21340.0,220.0,3795.0,3575.0,0.16752577319587628,108262.73999999998,111837.73999999998,eod,1.0@0.046000,55@0.045700,False,
2024-09-13,2024-09-13 09:45:00,put,588000P_REV_10007205,0.2,0.0433,0.0436,51,51,2805.0,0.01818181818181818,22235.999999999996,204.0,3723.0000000000036,3519.0000000000036,0.15825688073394514,111837.73999999998,115356.73999999998,eod,1.0@0.051200,51@0.050900,False,
2024-09-20,2024-09-20 10:00:00,put,588000P2410M00700,0.5,0.0371,0.0374,154,154,,0.0,57596.00000000001,616.0,-3234.0000000000146,-3850.0000000000146,-0.0668449197860965,115356.73999999998,111506.73999999996,early_no_follow_10:30_hi5%_cl-3%,1.0@0.035600,154@0.035300,False,
2024-09-25,2024-09-25 09:45:00,put,588000P_REV_10007205,0.2,0.0335,0.033800000000000004,65,65,2566.0,0.02533125487139517,21970.0,260.0,3575.0,3315.0,0.15088757396449703,111506.73999999996,114821.73999999996,eod,1.0@0.039600,65@0.039300,False,
2024-10-21,2024-10-21 09:45:00,put,588000P_REV_10008114,0.2,0.0483,0.048600000000000004,47,47,9291.0,0.0050586589172317295,22842.000000000004,188.0,1988.099999999995,1800.099999999995,0.07880658436213968,114821.73999999996,116621.83999999995,trend_quick_tp_10%,1.0@0.053130,47@0.052830,False,
2024-11-04,2024-11-04 09:45:00,put,588000P_REV_10008034,0.2,0.0662,0.06649999999999999,35,35,4187.0,0.008359207069500836,23274.999999999996,140.0,-909.9999999999964,-1049.9999999999964,-0.04511278195488707,116621.83999999995,115571.83999999995,early_no_follow_10:30_hi5%_cl-3%,1.0@0.064200,35@0.063900,False,
2024-11-26,2024-11-26 09:45:00,put,588000P_REV_10007236,0.2,0.0399,0.0402,57,57,3316.0,0.01718938480096502,22914.0,228.0,3591.0,3363.0,0.14676616915422885,115571.83999999995,118934.83999999995,eod,1.0@0.046800,57@0.046500,False,
2024-11-28,2024-11-28 09:45:00,put,588000P_REV_10008126,0.2,0.0526,0.0529,44,44,3650.0,0.012054794520547946,23276.000000000004,176.0,791.9999999999964,615.9999999999964,0.026465028355387363,118934.83999999995,119550.83999999995,eod,1.0@0.055000,44@0.054700,False,
2025-01-16,2025-01-16 09:45:00,put,588000P_REV_10008640,0.2,0.0526,0.0529,45,45,1493.0,0.03014065639651708,23805.0,180.0,9001.200000000004,8821.200000000004,0.3705608065532453,119550.83999999995,128372.03999999995,tp1_eod,0.5@0.071010;0.5@0.075300,22@0.070710;23@0.075000,False,
2025-01-23,2025-01-23 09:45:00,put,588000P_REV_10008640,0.2,0.0474,0.0477,53,53,9898.0,0.005354617094362498,25280.999999999996,212.0,5618.000000000004,5406.000000000004,0.21383647798742156,128372.03999999995,133778.03999999995,eod,1.0@0.058600,53@0.058300,False,
2025-02-21,2025-02-21 10:30:00,call,588000C2503M01150,0.175,0.0266,0.0269,87,87,,0.0,23403.0,348.0,13241.399999999994,12893.399999999994,0.5509293680297396,133778.03999999995,146671.43999999994,trail_20%,0.333333@0.039900;0.666667@0.043680,29@0.039600;58@0.043380,False,
2025-02-27,2025-02-27 09:45:00,put,588000P_REV_10008225,0.2,0.0579,0.0582,50,50,9015.0,0.005546311702717693,29100.0,200.0,2595.0000000000036,2395.0000000000036,0.08230240549828191,146671.43999999994,149066.43999999994,trend_quick_tp_10%,1.0@0.063690,50@0.063390,False,
2025-03-18,2025-03-18 09:45:00,put,588000P_REV_10008997,0.2,0.0438,0.0441,67,67,3390.0,0.01976401179941003,29547.0,268.0,2881.0,2613.0,0.08843537414965986,149066.43999999994,151679.43999999994,eod,1.0@0.048700,67@0.048400,False,
2025-03-24,2025-03-24 09:45:00,put,588000P_REV_10008996,0.2,0.0366,0.0369,82,82,4635.0,0.017691477885652642,30258.000000000004,328.0,-2132.0000000000073,-2460.0000000000073,-0.08130081300813032,151679.43999999994,149219.43999999994,eod,1.0@0.034600,82@0.034300,False,
2025-03-26,2025-03-26 09:45:00,put,588000P_REV_10008996,0.2,0.0357,0.036000000000000004,82,82,8241.0,0.009950248756218905,29520.000000000004,328.0,4181.999999999996,3853.9999999999964,0.13055555555555542,149219.43999999994,153073.43999999994,eod,1.0@0.041400,82@0.041100,False,
2025-04-07,2025-04-07 09:46:00,put,588000P2504M01000,0.25,0.0349,0.0352,108,108,,0.0,38016.0,432.0,15606.0,15174.0,0.3991477272727273,153073.43999999994,168247.43999999994,trail_35%,0.333333@0.052350;0.666667@0.048750,36@0.052050;72@0.048450,False,
2025-04-07,2025-04-07 13:15:00,put,588000P2504M01000,0.25,0.0545,0.0548,76,76,,0.0,41648.00000000001,304.0,51960.69999999999,51656.69999999999,1.2403164617748748,168247.43999999994,219904.13999999993,trail_20%,0.333333@0.081750;0.666667@0.143920,25@0.081450;51@0.143620,False,
2025-04-08,2025-04-08 09:45:00,put,588000P_REV_10008994,0.2,0.0521,0.0524,83,83,19965.0,0.004157275231655397,43492.0,332.0,-8281.739999999998,-8613.739999999998,-0.19805343511450377,219904.13999999993,211290.39999999994,soft_stop,1.0@0.042722,83@0.042422,False,
2025-06-03,2025-06-03 09:45:00,put,588000P_REV_10008328,0.2,0.032,0.0323,130,130,9355.0,0.01389631213254944,41990.00000000001,520.0,1689.9999999999854,1169.9999999999854,0.02786377708978293,211290.39999999994,212460.3999999999,eod,1.0@0.033900,130@0.033600,False,
2025-07-11,2025-07-11 09:45:00,put,588000P_REV_10008860,0.2,0.0567,0.057,0,74,1357.0,0.054532056005895356,0.0,0.0,0.0,0.0,0.0,212460.3999999999,212460.3999999999,early_no_follow_10:30_hi5%_cl-3%,1.0@0.054700,,True,capacity
2025-07-25,2025-07-25 14:15:00,call,588000C2508M01100,0.25,0.0336,0.0339,156,156,,0.0,52884.0,624.0,8736.0,8112.0,0.15339233038348082,212460.3999999999,220572.3999999999,eod,1.0@0.039800,156@0.039500,False,
2025-07-29,2025-07-29 10:15:00,call,588000C2508M01100,0.5,0.044,0.0443,248,248,,0.0,109864.0,992.0,8183.999999999985,7191.999999999985,0.06546275395033847,220572.3999999999,227764.3999999999,eod,1.0@0.047900,248@0.047600,False,
2025-08-14,2025-08-14 09:45:00,put,588000P_REV_10008862,0.2,0.0451,0.0454,100,100,4922.0,0.02031694433157253,45400.0,400.0,-8718.0,-9118.0,-0.20083700440528635,227764.3999999999,218646.3999999999,soft_stop,1.0@0.036982,100@0.036682,False,
2025-08-19,2025-08-19 09:45:00,put,588000P_REV_10008863,0.2,0.0591,0.0594,73,73,2214.0,0.03297199638663053,43362.0,292.0,3876.300000000003,3584.300000000003,0.08265993265993272,218646.3999999999,222230.6999999999,trend_quick_tp_10%,1.0@0.065010,73@0.064710,False,
2025-08-20,2025-08-20 09:41:00,call,588000C2509M01250,0.325,0.0261,0.026400000000000003,273,273,,0.0,72072.00000000001,1092.0,27499.59999999999,26407.59999999999,0.3664058164058162,222230.6999999999,248638.29999999987,tp1_eod,0.5@0.035235;0.5@0.038300,136@0.034935;137@0.038000,False,
2025-08-22,2025-08-22 09:40:00,call,588000C2509M01400,0.5,0.01524,0.01554,799,799,,0.0,124164.6,3196.0,131693.4,128497.4,1.0348956143699573,248638.29999999987,377135.69999999984,tp1_eod,0.5@0.020574;0.5@0.044100,400@0.020274;399@0.043800,False,
2025-08-27,2025-08-27 09:45:00,put,588000P_REV_10008912,0.2,0.0693,0.0696,108,108,11533.0,0.009364432498049077,75168.0,432.0,6836.400000000009,6404.400000000009,0.08520114942528748,377135.69999999984,383540.09999999986,trend_quick_tp_10%,1.0@0.076230,108@0.075930,False,
2025-09-09,2025-09-09 09:45:00,put,588000P_REV_10008894,0.2,0.0322,0.0325,236,236,13885.0,0.016996759092545912,76700.0,944.0,6183.1999999999825,5239.1999999999825,0.06830769230769208,383540.09999999986,388779.2999999998,trend_quick_tp_10%,1.0@0.035420,236@0.035120,False,
2025-09-12,2025-09-12 09:45:00,put,588000P_REV_10008930,0.2,0.0409,0.0412,188,188,28966.0,0.006490368017675896,77456.0,752.0,6561.200000000012,5809.200000000012,0.07500000000000015,388779.2999999998,394588.4999999998,trend_quick_tp_10%,1.0@0.044990,188@0.044690,False,
2025-09-18,2025-09-18 09:45:00,put,588000P_REV_10009958,0.2,0.0777,0.078,101,101,5725.0,0.01764192139737991,78780.0,404.0,7241.700000000012,6837.700000000012,0.08679487179487194,394588.4999999998,401426.19999999984,trend_quick_tp_10%,1.0@0.085470,101@0.085170,False,
2025-09-24,2025-09-24 09:42:00,call,588000C2510M01550,0.7,0.047475,0.047775000000000005,588,588,,0.0,280917.00000000006,2352.0,56006.99999999994,53654.99999999994,0.1909994767137622,401426.19999999984,455081.1999999998,eod,1.0@0.057600,588@0.057300,False,
2025-09-26,2025-09-26 09:45:00,put,588000P_REV_10009960,0.2,0.0763,0.0766,118,118,8497.0,0.013887254325055902,90388.0,472.0,8295.400000000023,7823.400000000023,0.0865535248041778,455081.1999999998,462904.5999999998,trend_quick_tp_10%,1.0@0.083930,118@0.083630,False,
2025-10-09,2025-10-09 09:40:00,call,588000C2510M01600,0.35,0.062095,0.062395,259,259,,0.0,161603.05000000002,1036.0,18707.350000000006,17671.350000000006,0.10935034951382418,462904.5999999998,480575.94999999984,tp1_eod,0.5@0.083828;0.5@0.055900,130@0.083528;129@0.055600,False,
2025-11-04,2025-11-04 09:45:00,put,588000P_REV_10010131,0.2,0.0635,0.0638,150,150,10273.0,0.014601382264187676,95699.99999999999,600.0,21150.000000000044,20550.000000000044,0.2147335423197497,480575.94999999984,501125.9499999999,eod,1.0@0.078200,150@0.077900,False,
2025-11-17,2025-11-17 09:45:00,put,588000P_REV_10009843,0.2,0.0714,0.0717,0,139,1319.0,0.10538286580742987,0.0,0.0,0.0,0.0,0.0,501125.9499999999,501125.9499999999,eod,1.0@0.081000,,True,capacity
2025-11-27,2025-11-27 09:45:00,put,588000P_REV_10009782,0.2,0.0426,0.0429,233,233,12116.0,0.019230769230769232,99957.0,932.0,40935.59999999998,40003.59999999998,0.4002080894784755,501125.9499999999,541129.5499999998,tp1_eod,0.5@0.057510;0.5@0.064000,116@0.057210;117@0.063700,False,
2025-12-22,2025-12-22 09:45:00,put,588000P_REV_10010508,0.2,0.0526,0.0529,204,204,5823.0,0.03503348789283874,107916.00000000001,816.0,-6120.000000000015,-6936.000000000015,-0.06427221172022697,541129.5499999998,534193.5499999998,early_no_follow_10:30_hi5%_cl-3%,1.0@0.050200,204@0.049900,False,
2026-01-06,2026-01-06 09:40:00,call,588000C2601M01500,0.325,0.0465,0.0468,370,370,,0.0,173160.0,1480.0,30478.74999999997,28998.74999999997,0.16746794871794854,534193.5499999998,563192.2999999998,tp1_eod,0.5@0.062775;0.5@0.047900,185@0.062475;185@0.047600,False,
2026-01-08,2026-01-08 09:46:00,call,588000C2601M01550,0.5,0.0388,0.0391,720,720,,0.0,281520.0,2880.0,82944.0,80064.0,0.2843989769820972,563192.2999999998,643256.2999999998,trail_20%,0.333333@0.058200;0.666667@0.047280,240@0.057900;480@0.046980,False,
2026-01-21,2026-01-21 09:46:00,call,588000C2602M01600,0.5,0.062,0.0623,516,516,,0.0,321468.0,2064.0,9288.0,7224.0,0.02247191011235955,643256.2999999998,650480.2999999998,eod,1.0@0.064400,516@0.064100,False,
2026-02-10,2026-02-10 09:45:00,put,588000P_REV_10010697,0.2,0.0299,0.0302,430,430,16678.0,0.025782467921813167,129860.0,1720.0,-25722.59999999999,-27442.59999999999,-0.2113245033112582,650480.2999999998,623037.6999999998,soft_stop,1.0@0.024518,430@0.024218,False,
2026-02-13,2026-02-13 09:45:00,put,588000P_REV_10009880,0.2,0.0507,0.051000000000000004,0,244,3739.0,0.06525809039850228,0.0,0.0,0.0,0.0,0.0,623037.6999999998,623037.6999999998,eod,1.0@0.061100,,True,capacity
2026-03-02,2026-03-02 09:45:00,put,588000P_REV_10009880,0.2,0.036,0.0363,343,343,28605.0,0.011990910679951058,124508.99999999999,1372.0,18179.000000000015,16807.000000000015,0.13498622589531695,623037.6999999998,639844.6999999998,eod,1.0@0.041900,343@0.041600,False,
2026-03-03,2026-03-03 10:00:00,put,588000P2603M01500,0.25,0.0373,0.0376,425,425,,0.0,159800.0,1700.0,103739.0,102039.0,0.6385419274092615,639844.6999999998,741883.6999999998,tp1_eod,0.333333@0.055950;0.666667@0.065500,142@0.055650;283@0.065200,False,
2026-03-09,2026-03-09 09:46:00,put,588000P2603M01450,0.35,0.0479,0.0482,538,538,,0.0,259316.0,2152.0,-49614.359999999986,-51766.359999999986,-0.19962655601659746,741883.6999999998,690117.3399999999,soft_stop,1.0@0.039278,538@0.038978,False,
2026-03-19,2026-03-19 13:30:00,put,588000P2604M01400,0.5,0.0488,0.049100000000000005,702,702,,0.0,344682.00000000006,2808.0,-9828.000000000058,-12636.000000000058,-0.0366598778004075,690117.3399999999,677481.3399999999,eod,1.0@0.048000,702@0.047700,False,
2026-03-23,2026-03-23 13:15:00,put,588000P2604M01350,0.375,0.0615,0.0618,411,411,,0.0,253998.0,1644.0,66582.0,64938.0,0.255663430420712,677481.3399999999,742419.3399999999,eod,1.0@0.078300,411@0.078000,False,
2026-04-07,2026-04-07 09:45:00,put,588000P_REV_10011166,0.2,0.0359,0.0362,410,410,13284.0,0.030864197530864196,148420.0,1640.0,11480.0,9840.0,0.06629834254143646,742419.3399999999,752259.3399999999,eod,1.0@0.039300,410@0.039000,False,
